cell_id,x_spring,y_spring,Potential,Pr_Er,Pr_Gr,Pr_Ly,Pr_DC,Pr_Mk,Pr_Mo,Pr_Ba
bBM847,247.21,-371.4,18.693,5.1348e-05,0.99885,0.0001868,0.00063454,6.9455e-06,0.00025536,1.5071e-05
bBM848,284.95,-357.72,18.184,8.6117e-06,0.99974,9.9086e-06,0.00013436,1.9469e-06,9.3999e-05,7.3634e-06
bBM850,343.96,-732.22,7.9263,7.9489e-15,1,6.959e-17,4.1818e-15,9.092e-18,3.0682e-15,0
bBM851,-1040.3,-49.077,13.303,1,4.495e-11,1.2757e-10,4.0961e-11,2.3579e-11,3.1873e-11,4.3133e-11
bBM852,187.24,26.842,21.426,0.0057724,0.3669,0.012481,0.048935,0.0021959,0.56049,0.0032252
bBM853,189.37,-214.25,20.263,0.0021142,0.97151,0.0022882,0.014599,0.0003086,0.0083701,0.0008112
bBM854,202.97,-229.71,20.154,0.0012255,0.97388,0.0020453,0.014499,0.00020176,0.0077709,0.00037305
bBM855,286.87,-444.3,17.321,3.1098e-06,0.99994,6.0333e-06,3.4825e-05,3.7186e-07,1.5217e-05,8.4956e-07
bBM856,185.7,6.7821,21.305,0.0045496,0.4866,0.0099741,0.039546,0.0016838,0.45513,0.0025115
bBM857,287.02,-368.76,18.158,1.0081e-05,0.99981,1.0843e-05,6.7482e-05,2.2722e-06,8.6226e-05,1.0887e-05
bBM858,32.01,163.16,17.136,5.9859e-07,0.00014401,2.4357e-05,0.99979,2.7176e-07,4.4471e-05,3.08e-07
bBM859,310.92,-447.43,16.761,6.5529e-07,0.99999,7.7461e-07,6.1323e-06,1.4801e-07,5.7092e-06,5.5638e-07
bBM860,172.77,-193.48,20.516,0.014334,0.93046,0.0049152,0.026851,0.00045745,0.022235,0.0007462
bBM861,252.15,-294.42,19.142,9.3909e-05,0.99826,9.3289e-05,0.00067034,2.2079e-05,0.00071326,0.00014406
bBM862,139.07,-137.06,20.412,0.0022038,0.85927,0.11285,0.013248,0.00045267,0.011301,0.00067353
bBM863,263.14,-302.86,19.089,7.9106e-05,0.99842,8.914e-05,0.00049238,1.9973e-05,0.00082044,8.183e-05
bBM864,355.13,-692.6,9.969,3.6956e-13,1,5.5521e-13,4.6422e-12,5.766e-14,2.1668e-12,2.1135e-13
bBM865,160.76,34.626,21.03,0.0021427,0.21468,0.0042993,0.040121,0.00079288,0.73692,0.0010473
bBM866,230.1,-266.98,19.591,0.00022067,0.98511,0.00032915,0.0075961,3.8501e-05,0.0066402,6.9731e-05
bBM867,380.35,-719.71,7.1554,2.3957e-16,1,2.7376e-15,7.4523e-15,1.545e-15,3.9118e-15,8.9541e-16
bBM868,161.72,70.714,20.916,0.0015563,0.071709,0.0031763,0.026687,0.00065004,0.89539,0.00082968
bBM870,207.14,-259.74,19.907,0.00082245,0.97812,0.0051231,0.012069,0.00010113,0.0035892,0.00017348
bBM871,59.592,77.025,21.591,0.010568,0.18444,0.03596,0.079705,0.0054137,0.6781,0.0058106
bBM872,271.48,-341.55,18.469,2.6926e-05,0.99949,3.3894e-05,0.00024846,5.1159e-06,0.00018049,1.7813e-05
bBM873,344.59,-709.46,9.6893,1.236e-13,1,1.6721e-13,1.4844e-12,1.8259e-14,6.6252e-13,5.7253e-14
bBM874,-841.7,121.62,21.028,0.96172,0.0036733,0.019817,0.0034207,0.003438,0.0018395,0.0060936
bBM875,325.73,-663.17,11.576,1.7587e-11,1,2.9074e-11,2.0668e-10,2.3833e-12,9.9846e-11,6.0759e-12
bBM876,143.57,-145.11,20.79,0.0036831,0.94366,0.0040812,0.013525,0.0013162,0.028051,0.0056821
bBM877,296.54,-501.75,16.177,2.9432e-07,0.99999,5.0539e-07,6.4668e-06,3.6912e-08,1.4786e-06,8.3333e-08
bBM878,50.923,94.872,21.561,0.0082258,0.1126,0.023553,0.20674,0.0050123,0.63887,0.0050057
bBM879,59.396,-14.762,21.291,0.022719,0.62514,0.17419,0.052133,0.0033935,0.11784,0.0045862
bBM880,255.89,-396.12,18.066,1.2702e-05,0.99974,2.7247e-05,0.00015541,1.6315e-06,6.1776e-05,3.3296e-06
bBM881,-1040,85.923,19.374,0.99949,7.1184e-05,0.00022231,5.7972e-05,4.2082e-05,3.7648e-05,7.788e-05
bBM882,222.53,74.085,21.161,0.0032235,0.11757,0.0086512,0.053609,0.0012569,0.8141,0.0015884
bBM883,239.09,-278,19.65,0.00039495,0.99492,0.00037908,0.0022104,5.2338e-05,0.0018663,0.00018111
bBM884,320.18,-518.36,15.039,7.5675e-09,1,1.143e-08,1.9965e-07,1.2612e-09,5.5291e-08,3.899e-09
bBM885,291.7,-493.82,16.494,5.4052e-07,0.99999,8.1363e-07,6.0613e-06,7.0892e-08,3.0362e-06,1.7274e-07
bBM886,204.59,-218.4,20.311,0.0029011,0.96665,0.0023633,0.017344,0.00027577,0.0099455,0.00052366
bBM887,164.14,76.542,21.043,0.002025,0.069958,0.004425,0.030601,0.00086748,0.89106,0.0010598
bBM888,267.55,-395.76,18.12,1.7776e-05,0.99957,2.6326e-05,0.00025258,2.4592e-06,0.00012518,5.3231e-06
bBM889,346.76,-676.08,10.766,3.5856e-12,1,4.8725e-12,4.4372e-11,5.3164e-13,2.0647e-11,1.8192e-12
bBM890,225.71,-323.29,19.207,0.00019901,0.9967,0.00086665,0.0014521,2.1646e-05,0.00072353,3.8015e-05
bBM891,-931.09,113.44,20.503,0.99198,0.0010411,0.0036302,0.00078229,0.00072074,0.00051397,0.0013328
bBM892,370.11,-706.29,8.8265,1.0294e-14,1,1.8145e-14,1.2344e-13,4.5969e-15,1.1551e-13,5.5484e-14
bBM894,337.94,-705.54,9.6166,7.0913e-14,1,1.1622e-13,8.5038e-13,9.575e-15,4.3005e-13,3.0226e-14
bBM895,280.15,-495.77,16.73,5.7425e-07,0.99999,1.2002e-06,7.6271e-06,7.7895e-08,4.2911e-06,1.6352e-07
bBM896,144.81,-119.91,21.037,0.0044643,0.87462,0.01123,0.031472,0.0015581,0.074305,0.0023531
bBM897,390.15,-798.56,1.4119,6.1127e-15,1,1.1011e-15,1.8247e-15,1.3659e-15,1.9488e-15,7.7012e-16
bBM898,376.49,-964.31,-17.36,3.8409e-15,1,5.1006e-17,2.7362e-15,2.587e-15,3.9985e-16,9.2745e-16
bBM899,217.28,-126.35,20.623,0.0010503,0.89206,0.0022687,0.010477,0.00034821,0.09315,0.00064413
bBM900,318,-558.83,14.962,1.7463e-08,1,2.4786e-08,2.3283e-07,2.9849e-09,1.0874e-07,1.0976e-08
bBM901,192.76,-210.51,20.265,0.0027463,0.79832,0.0038173,0.18373,0.00022827,0.01075,0.00041366
bBM902,207.75,-177.3,20.605,0.0016189,0.9343,0.0024083,0.015829,0.00047325,0.044277,0.0010957
bBM903,347.49,-651.1,10.232,4.0821e-13,1,6.5684e-13,9.4553e-12,7.2166e-14,2.924e-12,2.221e-13
bBM904,286.06,-480.16,16.882,3.0949e-06,0.99997,1.6789e-06,1.243e-05,1.943e-07,8.2239e-06,4.6079e-07
bBM905,325,-536.56,14.86,1.4567e-08,1,1.9276e-08,1.4795e-07,2.581e-09,9.9135e-08,9.2436e-09
bBM906,156.44,78.871,20.489,0.00087893,0.029329,0.0018527,0.019114,0.00039932,0.94791,0.00051633
